orig32 thresholded: min = 0, max = 1782, maxp = (560,1817), minmaxdif = 1782
orig32 medianBlur: min = 0, max = 1737, maxp = (562,1813), minmaxdif = 1737
=>>averaged: min = : min = 0, max = 2446, maxp = (572,1816), minmaxdif = 2446
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1798, maxp = (550,1829), minmaxdif = 1798
orig32 medianBlur: min = 0, max = 1746, maxp = (517,1811), minmaxdif = 1746
=>>averaged: min = : min = 0, max = 2604, maxp = (552,1831), minmaxdif = 2604
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1799, maxp = (518,1853), minmaxdif = 1799
orig32 medianBlur: min = 0, max = 1770, maxp = (517,1852), minmaxdif = 1770
=>>averaged: min = : min = 0, max = 2652, maxp = (552,1831), minmaxdif = 2652
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1798, maxp = (517,1873), minmaxdif = 1798
orig32 medianBlur: min = 0, max = 1736, maxp = (512,1879), minmaxdif = 1736
=>>averaged: min = : min = 0, max = 2652, maxp = (552,1831), minmaxdif = 2652
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 2567, maxp = (437,1866), minmaxdif = 2567
orig32 medianBlur: min = 0, max = 2496, maxp = (437,1865), minmaxdif = 2496
=>>averaged: min = : min = 0, max = 2652, maxp = (552,1831), minmaxdif = 2652
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 2130, maxp = (447,1847), minmaxdif = 2130
orig32 medianBlur: min = 0, max = 2099, maxp = (447,1846), minmaxdif = 2099
=>>averaged: min = : min = 0, max = 2652, maxp = (552,1831), minmaxdif = 2652
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1944, maxp = (480,1802), minmaxdif = 1944
orig32 medianBlur: min = 0, max = 1906, maxp = (481,1802), minmaxdif = 1906
=>>averaged: min = : min = 0, max = 2708, maxp = (552,1831), minmaxdif = 2708
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1970, maxp = (459,1749), minmaxdif = 1970
orig32 medianBlur: min = 0, max = 1933, maxp = (460,1749), minmaxdif = 1933
=>>averaged: min = : min = 0, max = 2765, maxp = (552,1831), minmaxdif = 2765
orig: min = 22, max = 4094, maxp = (740,64), minmaxdif = 4072
orig32 thresholded: min = 0, max = 2341, maxp = (521,1744), minmaxdif = 2341
orig32 medianBlur: min = 0, max = 2260, maxp = (521,1744), minmaxdif = 2260
=>>averaged: min = : min = 0, max = 2806, maxp = (552,1831), minmaxdif = 2806
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
orig32 thresholded: min = 0, max = 2111, maxp = (419,1707), minmaxdif = 2111
orig32 medianBlur: min = 0, max = 2048, maxp = (419,1708), minmaxdif = 2048
=>>averaged: min = : min = 0, max = 2806, maxp = (552,1831), minmaxdif = 2806
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 2304, maxp = (421,1674), minmaxdif = 2304
orig32 medianBlur: min = 0, max = 2215, maxp = (414,1670), minmaxdif = 2215
=>>averaged: min = : min = 0, max = 2806, maxp = (552,1831), minmaxdif = 2806
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1853, maxp = (356,1654), minmaxdif = 1853
orig32 medianBlur: min = 0, max = 1811, maxp = (356,1653), minmaxdif = 1811
=>>averaged: min = : min = 0, max = 2806, maxp = (552,1831), minmaxdif = 2806
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1999, maxp = (335,1687), minmaxdif = 1999
orig32 medianBlur: min = 0, max = 1917, maxp = (335,1687), minmaxdif = 1917
=>>averaged: min = : min = 0, max = 2806, maxp = (552,1831), minmaxdif = 2806
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
orig32 thresholded: min = 0, max = 2048, maxp = (1359,1900), minmaxdif = 2048
orig32 medianBlur: min = 0, max = 1982, maxp = (1358,1900), minmaxdif = 1982
=>>averaged: min = : min = 0, max = 2806, maxp = (552,1831), minmaxdif = 2806
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1598, maxp = (1347,1856), minmaxdif = 1598
orig32 medianBlur: min = 0, max = 1560, maxp = (1325,1837), minmaxdif = 1560
=>>averaged: min = : min = 0, max = 2806, maxp = (552,1831), minmaxdif = 2806
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
orig32 thresholded: min = 0, max = 1686, maxp = (1348,1901), minmaxdif = 1686
orig32 medianBlur: min = 0, max = 1624, maxp = (1348,1901), minmaxdif = 1624
=>>averaged: min = : min = 0, max = 2806, maxp = (552,1831), minmaxdif = 2806
orig: min = 22, max = 4094, maxp = (740,64), minmaxdif = 4072
orig32 thresholded: min = 0, max = 1739, maxp = (1313,1919), minmaxdif = 1739
orig32 medianBlur: min = 0, max = 1672, maxp = (1313,1919), minmaxdif = 1672
=>>averaged: min = : min = 0, max = 2806, maxp = (552,1831), minmaxdif = 2806
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
orig32 thresholded: min = 0, max = 2272, maxp = (1259,1924), minmaxdif = 2272
orig32 medianBlur: min = 0, max = 2114, maxp = (1251,1923), minmaxdif = 2114
=>>averaged: min = : min = 0, max = 2806, maxp = (552,1831), minmaxdif = 2806
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1978, maxp = (1254,1907), minmaxdif = 1978
orig32 medianBlur: min = 0, max = 1912, maxp = (1255,1906), minmaxdif = 1912
=>>averaged: min = : min = 0, max = 2806, maxp = (552,1831), minmaxdif = 2806
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1854, maxp = (1277,1878), minmaxdif = 1854
orig32 medianBlur: min = 0, max = 1805, maxp = (1277,1878), minmaxdif = 1805
=>>averaged: min = : min = 0, max = 2806, maxp = (552,1831), minmaxdif = 2806
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1760, maxp = (1293,1857), minmaxdif = 1760
orig32 medianBlur: min = 0, max = 1684, maxp = (1293,1857), minmaxdif = 1684
=>>averaged: min = : min = 0, max = 2806, maxp = (552,1831), minmaxdif = 2806
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1747, maxp = (1313,1827), minmaxdif = 1747
orig32 medianBlur: min = 0, max = 1698, maxp = (1306,1835), minmaxdif = 1698
=>>averaged: min = : min = 0, max = 2806, maxp = (552,1831), minmaxdif = 2806
orig: min = 22, max = 4094, maxp = (740,64), minmaxdif = 4072
orig32 thresholded: min = 0, max = 1848, maxp = (1344,1783), minmaxdif = 1848
orig32 medianBlur: min = 0, max = 1788, maxp = (1305,1783), minmaxdif = 1788
=>>averaged: min = : min = 0, max = 2806, maxp = (552,1831), minmaxdif = 2806
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1901, maxp = (1258,1791), minmaxdif = 1901
orig32 medianBlur: min = 0, max = 1839, maxp = (1257,1791), minmaxdif = 1839
=>>averaged: min = : min = 0, max = 2806, maxp = (552,1831), minmaxdif = 2806
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1834, maxp = (1219,1846), minmaxdif = 1834
orig32 medianBlur: min = 0, max = 1775, maxp = (1218,1846), minmaxdif = 1775
=>>averaged: min = : min = 0, max = 2829, maxp = (1260,1792), minmaxdif = 2829
orig: min = 22, max = 4094, maxp = (740,64), minmaxdif = 4072
orig32 thresholded: min = 0, max = 1652, maxp = (1206,1747), minmaxdif = 1652
orig32 medianBlur: min = 0, max = 1566, maxp = (1206,1747), minmaxdif = 1566
=>>averaged: min = : min = 0, max = 2878, maxp = (1260,1792), minmaxdif = 2878
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
orig32 thresholded: min = 0, max = 1721, maxp = (1189,1769), minmaxdif = 1721
orig32 medianBlur: min = 0, max = 1659, maxp = (1179,1772), minmaxdif = 1659
=>>averaged: min = : min = 0, max = 2936, maxp = (1260,1792), minmaxdif = 2936
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
orig32 thresholded: min = 0, max = 2228, maxp = (1125,1739), minmaxdif = 2228
orig32 medianBlur: min = 0, max = 2170, maxp = (1125,1738), minmaxdif = 2170
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 22, max = 4094, maxp = (740,64), minmaxdif = 4072
orig32 thresholded: min = 0, max = 2026, maxp = (1945,1859), minmaxdif = 2026
orig32 medianBlur: min = 0, max = 1971, maxp = (1944,1859), minmaxdif = 1971
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
orig32 thresholded: min = 0, max = 2050, maxp = (2002,1830), minmaxdif = 2050
orig32 medianBlur: min = 0, max = 1997, maxp = (2000,1820), minmaxdif = 1997
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 22, max = 4094, maxp = (740,64), minmaxdif = 4072
orig32 thresholded: min = 0, max = 2104, maxp = (1996,1798), minmaxdif = 2104
orig32 medianBlur: min = 0, max = 2052, maxp = (1995,1797), minmaxdif = 2052
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 22, max = 4094, maxp = (740,64), minmaxdif = 4072
orig32 thresholded: min = 0, max = 1844, maxp = (1991,1772), minmaxdif = 1844
orig32 medianBlur: min = 0, max = 1788, maxp = (1990,1772), minmaxdif = 1788
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1865, maxp = (1972,1801), minmaxdif = 1865
orig32 medianBlur: min = 0, max = 1835, maxp = (1971,1800), minmaxdif = 1835
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
orig32 thresholded: min = 0, max = 1967, maxp = (1961,1816), minmaxdif = 1967
orig32 medianBlur: min = 0, max = 1913, maxp = (1965,1809), minmaxdif = 1913
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
orig32 thresholded: min = 0, max = 1906, maxp = (1948,1838), minmaxdif = 1906
orig32 medianBlur: min = 0, max = 1819, maxp = (1948,1838), minmaxdif = 1819
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 22, max = 4094, maxp = (740,64), minmaxdif = 4072
orig32 thresholded: min = 0, max = 1887, maxp = (1940,1851), minmaxdif = 1887
orig32 medianBlur: min = 0, max = 1865, maxp = (1926,1859), minmaxdif = 1865
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 2504, maxp = (1875,1833), minmaxdif = 2504
orig32 medianBlur: min = 0, max = 2442, maxp = (1875,1832), minmaxdif = 2442
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 2123, maxp = (1891,1807), minmaxdif = 2123
orig32 medianBlur: min = 0, max = 2073, maxp = (1894,1799), minmaxdif = 2073
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1975, maxp = (1916,1768), minmaxdif = 1975
orig32 medianBlur: min = 0, max = 1918, maxp = (1916,1767), minmaxdif = 1918
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 2346, maxp = (1938,1730), minmaxdif = 2346
orig32 medianBlur: min = 0, max = 2313, maxp = (1938,1730), minmaxdif = 2313
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
orig32 thresholded: min = 0, max = 2036, maxp = (1806,1716), minmaxdif = 2036
orig32 medianBlur: min = 0, max = 1975, maxp = (1820,1701), minmaxdif = 1975
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 22, max = 4094, maxp = (740,64), minmaxdif = 4072
orig32 thresholded: min = 0, max = 2527, maxp = (1840,1647), minmaxdif = 2527
orig32 medianBlur: min = 0, max = 2446, maxp = (1840,1647), minmaxdif = 2446
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 19, max = 4094, maxp = (740,64), minmaxdif = 4075
orig32 thresholded: min = 0, max = 2073, maxp = (1832,1656), minmaxdif = 2073
orig32 medianBlur: min = 0, max = 2049, maxp = (1831,1655), minmaxdif = 2049
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 2027, maxp = (1812,1686), minmaxdif = 2027
orig32 medianBlur: min = 0, max = 1950, maxp = (1812,1686), minmaxdif = 1950
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 2118, maxp = (1349,1673), minmaxdif = 2118
orig32 medianBlur: min = 0, max = 2036, maxp = (1349,1672), minmaxdif = 2036
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 22, max = 4094, maxp = (740,64), minmaxdif = 4072
orig32 thresholded: min = 0, max = 1847, maxp = (1310,1626), minmaxdif = 1847
orig32 medianBlur: min = 0, max = 1789, maxp = (1310,1625), minmaxdif = 1789
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1762, maxp = (1342,1669), minmaxdif = 1762
orig32 medianBlur: min = 0, max = 1695, maxp = (1338,1670), minmaxdif = 1695
